item,itemLabel,startDate,endDate,psid
Q11665,José Ramos-Horta,2000-07-12,2001-03-31,Q11665-280CE72D-B24A-4655-8709-0B2CC1F86571
Q11665,José Ramos-Horta,2001-07-15,2006-07-10,Q11665-525B489F-F76A-46A7-9EBD-42ABFB11A55E
Q11665,José Ramos-Horta,1975-12-01,1975-12-17,Q11665-7A653B64-4036-458A-8790-7F7D16B1E11B
Q1227031,Dionísio Babo Soares,2018-06-22,2020-05-25,Q1227031-3DDCACD5-73D4-4B54-9EFD-1C076222083A
Q1270451,José Luís Guterres,2006-07-10,2007-05-19,Q1270451-72A7A745-AD04-482C-A58A-E7A211D9768C
Q1270451,José Luís Guterres,2012-08-08,2015-02-16,Q1270451-75E461E0-1330-42B6-B038-DCB786C1FC6F
Q19502619,Hernâni Coelho,2015-02-16,2017-09-15,Q19502619-2FC923FF-4602-4D85-8108-7786E8EAB16A
Q348268,Adaljíza Magno,2007-05-19,2007-08-08,Q348268-11CB4E0B-9C19-459E-91DA-FE0E20AE9BED
Q348268,Adaljíza Magno,2020-06-24,,Q348268-7B35C270-C1B5-47BC-9370-99CC0698F007
Q40013553,Aurélio Guterres,2017-09-15,2018-06-22,Q40013553-CBF7401E-BAA0-40ED-9055-9F927AE410BA
Q58185,Zacarias da Costa,2007-08-08,2012-08-08,Q58185-95716835-A699-4BE2-927A-CBFCBBF44643
