position,title
Q48893225,First Lady
Q30303360,ambassador to Angola
Q30301587,ambassador to Belgium
Q30433811,ambassador to Brazil
Q30301591,ambassador to Brunei
Q30434054,ambassador to Cuba
Q30504624,ambassador to Indonesia
Q30504535,ambassador to Japan
Q30307481,ambassador to Malaysia
Q30307496,ambassador to Monaco
Q30307547,ambassador to Mozambique
Q30301639,ambassador to Myanmar
Q30433580,ambassador to New Zealand
Q20181227,ambassador to the People's Republic of China
Q30307474,ambassador to the Philippines
Q30504567,ambassador to Portugal
Q30504609,ambassador to Singapore
Q30301593,ambassador to South Africa
Q30307557,ambassador to South Korea
Q30303380,ambassador to Thailand
Q30307503,ambassador to the United Kingdom
Q30504554,ambassador to the Holy See
Q30303369,ambassador to Vietnam
